Tiempo_ms,Distancia_mm,Fuerza_N
8733,36.0,-0.1696
8839,33.0,-0.1594
8944,34.0,-0.1431
9051,34.0,-0.0717
9156,36.0,0.0588
9262,37.0,0.2612
9368,36.0,0.4462
9474,35.0,0.5965
9579,35.0,0.6099
9684,36.0,0.4528
9791,36.0,0.254
9896,32.0,-0.0358
10002,35.0,-0.1629
10107,35.0,-0.2056
10214,34.0,-0.2163
10319,35.0,-0.2218
10425,33.0,-0.2112
10531,35.0,-0.1904
10637,35.0,-0.1608
10742,35.0,-0.1374
10849,36.0,-0.1049
10954,35.0,-0.0337
11060,33.0,0.1465
11166,35.0,0.3807
11272,37.0,0.5434
11377,36.0,0.6138
11484,34.0,0.6235
11589,34.0,0.5027
11695,35.0,0.3608
11801,33.0,0.2226
11907,35.0,0.1085
12012,36.0,-0.0133
12118,33.0,-0.1163
12224,35.0,-0.184
12329,35.0,-0.1977
12435,36.0,-0.192
12541,35.0,-0.1803
12647,34.0,-0.1603
12752,37.0,-0.1271
12859,35.0,-0.0768
12964,34.0,0.0227
13070,34.0,0.2457
13176,35.0,0.4622
13282,37.0,0.6582
13387,34.0,0.7969
13494,35.0,0.7613
13599,33.0,0.6473
13705,36.0,0.5278
13811,35.0,0.4286
13917,34.0,0.2971
14022,36.0,0.0268
14128,36.0,-0.1707
14234,35.0,-0.2119
14340,32.0,-0.2216
14445,37.0,-0.2176
14552,35.0,-0.2049
14657,34.0,-0.1587
14763,34.0,-0.0859
14869,38.0,0.0929
14974,33.0,0.2979
15080,34.0,0.4836
15186,36.0,0.5644
15292,34.0,0.4964
15397,35.0,0.3747
15504,34.0,0.2156
15609,36.0,0.0557
15715,36.0,-0.0488
15821,34.0,-0.1384
15927,34.0,-0.1844
16032,33.0,-0.2043
16138,34.0,-0.2118
16244,36.0,-0.2276
16350,33.0,-0.2528
16455,35.0,-0.2344
16562,34.0,-0.1943
16667,34.0,-0.0962
16773,35.0,0.0855
16879,34.0,0.3696
16985,36.0,0.5592
17090,36.0,0.6135
17197,36.0,0.6268
17302,35.0,0.5855
17408,35.0,0.4445
17514,37.0,0.2386
17619,37.0,-0.0295
17725,36.0,-0.1326
17831,36.0,-0.1768
17937,36.0,-0.2063
18042,35.0,-0.212
18149,35.0,-0.2065
18254,35.0,-0.1926
18360,35.0,-0.1782
18466,35.0,-0.1505
18572,35.0,-0.0654
18677,33.0,0.0667
18784,34.0,0.2182
18889,35.0,0.4729
18995,34.0,0.5669
19101,35.0,0.5937
19207,35.0,0.6168
19312,36.0,0.4737
19419,33.0,0.2179
19524,33.0,0.0091
19630,35.0,-0.1142
19735,34.0,-0.1866
19842,36.0,-0.2072
19947,35.0,-0.1989
20052,36.0,-0.1936
20159,33.0,-0.1777
20264,37.0,-0.119
20370,34.0,-0.0023
20476,34.0,0.1971
20582,33.0,0.4238
20687,35.0,0.6057
