Tiempo_ms,Distancia_mm,Fuerza_N
20345,35.0,1.1024
20451,35.0,1.1744
20557,35.0,1.1251
20663,35.0,0.9895
20768,36.0,0.7658
20875,36.0,0.4088
20980,36.0,-0.0772
21086,33.0,-0.2571
21191,34.0,-0.3306
7667,35.0,0.8684
7774,35.0,0.7275
7879,36.0,0.3787
7985,37.0,0.1322
8090,36.0,-0.1106
8197,36.0,-0.2721
8302,34.0,-0.3602
8408,34.0,-0.3841
8514,35.0,-0.3259
8620,36.0,-0.1049
8725,35.0,0.3413
8830,35.0,0.9396
8937,34.0,1.1155
9042,35.0,1.1595
9148,36.0,1.1048
9254,35.0,0.8139
9360,37.0,0.5542
9465,36.0,0.286
9571,36.0,0.0269
9677,35.0,-0.287
9783,35.0,-0.3622
9888,38.0,-0.4045
9994,34.0,-0.4074
10100,36.0,-0.3309
10206,36.0,0.1305
10311,36.0,0.6456
10418,35.0,0.9758
10523,36.0,1.1048
10629,35.0,1.1346
10735,36.0,1.0296
10841,36.0,0.884
10946,38.0,0.7608
11052,34.0,0.5824
11158,36.0,0.3149
11264,36.0,-0.0092
11369,36.0,-0.2335
11475,37.0,-0.3941
11581,35.0,-0.3952
11686,36.0,-0.2999
11793,37.0,-0.0344
11898,35.0,0.343
12004,36.0,0.7689
12110,35.0,0.9808
12216,36.0,1.1424
12321,35.0,1.2089
12428,36.0,1.1981
12533,35.0,1.152
12639,35.0,1.071
12745,35.0,0.9316
12851,35.0,0.5301
12956,35.0,0.1483
13063,35.0,-0.109
13168,36.0,-0.2575
13274,34.0,-0.3725
13379,36.0,-0.3718
13486,35.0,-0.3066
13591,36.0,-0.1666
13697,36.0,0.1852
13803,37.0,0.6654
13908,36.0,1.0077
14014,36.0,1.2136
14120,36.0,1.3071
14226,34.0,1.2593
14331,35.0,1.082
14438,35.0,0.815
14543,37.0,0.3326
14649,36.0,-0.1393
14755,35.0,-0.2675
14861,35.0,-0.3643
14966,35.0,-0.4153
15073,34.0,-0.406
15178,35.0,-0.3607
15284,34.0,-0.2753
15389,36.0,-0.0309
15496,34.0,0.3573
15601,36.0,0.8464
15707,33.0,1.0764
15813,37.0,1.1688
15919,37.0,1.159
16024,36.0,1.0205
16131,35.0,0.7747
16236,35.0,0.4428
16342,35.0,0.121
16448,36.0,-0.1692
16553,34.0,-0.3097
16659,34.0,-0.3909
16765,34.0,-0.4232
16871,35.0,-0.3793
16976,34.0,-0.1925
17083,37.0,0.2258
17188,34.0,0.5528
17294,35.0,0.7927
17399,34.0,0.9364
17506,35.0,0.9615
17611,36.0,0.9637
17717,34.0,0.9227
17823,35.0,0.6901
17929,34.0,0.2947
18034,34.0,-0.0405
18141,35.0,-0.2761
18246,35.0,-0.4058
18352,36.0,-0.3757
18458,36.0,-0.2864
18564,34.0,-0.1524
18669,37.0,0.1915
18776,35.0,0.5433
18881,34.0,0.8447
18987,37.0,0.9331
19093,33.0,0.9622
19198,34.0,0.9075
19304,36.0,0.7659
19409,36.0,0.6106
19516,35.0,0.4392
19621,37.0,0.0354
19727,36.0,-0.2557
19833,37.0,-0.347
19939,35.0,-0.3811
20044,36.0,-0.3651
20151,35.0,-0.3504
20256,35.0,-0.3219
20362,35.0,-0.1873
20468,35.0,0.4678
20574,34.0,0.8066
20679,34.0,1.0357
20786,35.0,1.0584
20891,36.0,0.8295
20997,35.0,0.1844
21103,36.0,-0.0754
7678,34.0,0.7499
7784,35.0,0.9919
7889,34.0,1.155
7995,36.0,1.2315
8101,36.0,1.1772
8207,36.0,0.9059
8312,36.0,0.4577
8419,34.0,-0.0044
8524,35.0,-0.3456
8630,34.0,-0.4492
8735,34.0,-0.4725
8842,35.0,-0.4402
8947,36.0,-0.3584
9053,36.0,-0.178
9159,35.0,0.1438
9265,36.0,0.6689
9370,35.0,0.9785
9476,35.0,1.0667
9582,37.0,1.0877
9688,36.0,1.0733
9793,35.0,0.9946
9899,35.0,0.5158
10005,35.0,0.0629
10110,37.0,-0.2289
10216,36.0,-0.3967
10322,35.0,-0.4814
10428,36.0,-0.4969
10533,37.0,-0.4859
10640,36.0,-0.3635
10745,34.0,-0.0905
10851,37.0,0.1747
10957,36.0,0.5024
11063,34.0,0.8631
11168,36.0,1.1998
11274,36.0,1.252
11380,35.0,1.1721
11486,35.0,1.0856
11591,35.0,0.7404
11698,35.0,0.0295
11803,36.0,-0.2965
11909,36.0,-0.4473
12015,34.0,-0.501
12121,34.0,-0.4706
12226,37.0,-0.4061
12333,37.0,-0.2658
12438,36.0,0.1331
12544,34.0,0.6648
12650,34.0,1.027
12755,36.0,1.2398
12861,38.0,1.2993
