PWM,Corriente_ADC,Corriente_real(A)
90,64,0.225
90,65,0.225
90,64,0.225
90,64,0.225
90,64,0.225
90,65,0.225
90,65,0.225
90,64,0.225
90,64,0.225
90,64,0.225
90,64,0.225
90,64,0.225
90,64,0.225
90,64,0.225
90,64,0.225
90,64,0.225
90,64,0.225
90,65,0.225
90,64,0.225
90,64,0.225
90,64,0.225
90,64,0.225
90,64,0.225
90,64,0.225
90,64,0.225
90,64,0.225
90,64,0.225
90,64,0.225
90,64,0.225
90,65,0.225
90,65,0.225
90,64,0.225
90,65,0.225
90,65,0.225
90,65,0.225
90,64,0.225
90,65,0.225
90,65,0.225
90,65,0.225
90,65,0.225
90,65,0.225
90,65,0.225
90,65,0.225
90,65,0.225
90,65,0.225
90,65,0.225
90,65,0.225
90,65,0.225
90,65,0.225
90,65,0.225
90,65,0.225
90,65,0.225
90,65,0.225
105,73,0.253
105,72,0.253
105,73,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,75,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,75,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,75,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,75,0.253
105,75,0.253
105,74,0.253
105,74,0.253
105,75,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,75,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,73,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,73,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,73,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,73,0.253
105,74,0.253
105,73,0.253
105,73,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,74,0.253
105,75,0.253
105,75,0.253
105,75,0.253
120,86,0.282
120,85,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,85,0.282
120,85,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,87,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,87,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,85,0.282
120,85,0.282
120,86,0.282
120,86,0.282
