t_ms,intensidad,pouch,DeltaP,PWM,t_s
15093,6,2,0.0,130,15.093
15135,6,2,0.0,130,15.135
15176,6,2,0.0,130,15.176
15218,6,2,0.0,130,15.218
15260,6,2,0.0,130,15.26
15302,6,2,1.365,130,15.302
15344,6,2,1.405,130,15.344
15386,6,2,3.949,0,15.386
15428,6,2,2.944,0,15.428
15469,6,2,2.037,0,15.469
15511,6,2,0.815,0,15.511
15553,6,2,0.326,130,15.553
15595,6,2,0.13,130,15.595
15637,6,2,0.052,130,15.637
15679,6,2,0.375,130,15.679
15721,6,2,0.504,130,15.721
15763,6,2,1.061,130,15.763
15805,6,2,1.284,130,15.805
15846,6,2,2.384,130,15.846
15888,6,2,2.824,130,15.888
15930,6,2,3.0,130,15.93
15972,6,2,2.565,130,15.972
16014,6,2,2.896,130,16.014
16056,6,2,3.029,130,16.056
16098,6,2,3.082,130,16.098
16140,6,2,3.103,130,16.14
16182,6,2,3.617,0,16.182
16224,6,2,3.317,0,16.224
16265,6,2,1.681,0,16.265
16307,6,2,0.672,0,16.307
16349,6,2,0.269,130,16.349
16391,6,2,0.108,130,16.391
16433,6,2,0.043,130,16.433
16475,6,2,0.017,130,16.475
16517,6,2,0.866,130,16.517
16559,6,2,1.206,130,16.559
16600,6,2,2.353,130,16.6
16642,6,2,2.811,130,16.642
16684,6,2,2.995,130,16.684
16726,6,2,2.563,130,16.726
16768,6,2,2.895,130,16.768
16809,6,2,3.028,130,16.809
16857,6,4,2.576,0,16.857
16899,6,4,1.384,0,16.899
16941,6,4,0.554,130,16.941
16982,6,4,0.221,130,16.982
17024,6,4,0.089,130,17.024
17065,6,4,0.895,130,17.065
17107,6,4,0.712,130,17.107
17149,6,4,2.155,130,17.149
17191,6,4,1.721,130,17.191
17233,6,4,2.053,130,17.233
17275,6,4,2.692,130,17.275
17317,6,4,2.947,130,17.317
17359,6,4,3.049,130,17.359
17401,6,4,3.09,130,17.401
17442,6,4,3.106,130,17.442
17484,6,4,3.113,130,17.484
17526,6,4,2.61,130,17.526
17568,6,4,2.914,130,17.568
17610,6,4,2.53,130,17.61
17652,6,4,2.377,130,17.652
17694,6,4,2.316,130,17.694
17736,6,4,1.786,130,17.736
17778,6,4,2.079,130,17.778
17820,6,4,1.691,130,17.82
17862,6,4,2.041,130,17.862
17904,6,4,2.181,130,17.904
17945,6,4,2.237,130,17.945
17987,6,4,2.26,130,17.987
18029,6,4,2.269,130,18.029
18071,6,4,2.272,130,18.071
18113,6,4,2.274,130,18.113
18155,6,4,2.274,130,18.155
18197,6,4,2.78,130,18.197
18239,6,4,1.971,130,18.239
18281,6,4,2.659,130,18.281
18323,6,4,1.923,130,18.323
18365,6,4,2.639,130,18.365
18407,6,4,2.421,130,18.407
18449,6,4,2.839,130,18.449
18490,6,4,2.5,130,18.49
18532,6,4,2.365,130,18.532
18574,6,4,2.816,130,18.574
18621,6,8,1.48,0,18.621
18663,6,8,0.592,130,18.663
18705,6,8,0.237,130,18.705
18747,6,8,0.449,130,18.747
18789,6,8,0.533,130,18.789
18831,6,8,1.578,130,18.831
18872,6,8,1.996,130,18.872
18914,6,8,2.669,130,18.914
18956,6,8,3.443,0,18.956
18998,6,8,3.248,0,18.998
19040,6,8,2.158,0,19.04
19082,6,8,0.863,0,19.082
19124,6,8,0.345,130,19.124
19165,6,8,0.138,130,19.165
19207,6,8,0.055,130,19.207
19249,6,8,0.376,130,19.249
19291,6,8,1.01,130,19.291
19333,6,8,1.263,130,19.333
19375,6,8,2.376,130,19.375
19417,6,8,3.326,0,19.417
19459,6,8,2.695,0,19.459
19501,6,8,1.937,0,19.501
19542,6,8,0.775,0,19.542
19584,6,8,0.31,130,19.584
19625,6,8,0.124,130,19.625
19667,6,8,0.05,130,19.667
19709,6,8,0.02,130,19.709
19751,6,8,0.362,130,19.751
19793,6,8,1.51,130,19.793
19835,6,8,2.474,130,19.835
19877,6,8,2.86,130,19.877
19918,6,8,3.52,0,19.918
19960,6,8,3.278,0,19.96
20002,6,8,1.665,0,20.002
20044,6,8,1.02,0,20.044
20086,6,8,0.408,130,20.086
20128,6,8,0.163,130,20.128
20170,6,8,0.065,130,20.17
20211,6,8,0.38,130,20.211
20253,6,8,0.506,130,20.253
20295,6,8,1.567,130,20.295
20337,6,8,1.992,130,20.337
20384,6,6,2.667,0,20.384
20426,6,6,1.067,0,20.426
20468,6,6,0.427,130,20.468
20510,6,6,0.171,130,20.51
20552,6,6,0.068,130,20.552
20593,6,6,0.027,130,20.593
20635,6,6,0.365,130,20.635
20677,6,6,1.511,130,20.677
20719,6,6,1.969,130,20.719
20761,6,6,2.658,130,20.761
20803,6,6,2.428,130,20.803
20845,6,6,2.841,130,20.845
20887,6,6,2.501,130,20.887
20929,6,6,2.871,130,20.929
20971,6,6,2.008,130,20.971
21013,6,6,2.673,130,21.013
21054,6,6,1.929,130,21.054
21096,6,6,2.642,130,21.096
21138,6,6,1.411,130,21.138
21180,6,6,1.929,130,21.18
21222,6,6,2.136,130,21.222
21264,6,6,2.219,130,21.264
21306,6,6,1.747,130,21.306
21348,6,6,1.558,130,21.348
21390,6,6,1.483,130,21.39
21432,6,6,1.452,130,21.432
21474,6,6,1.946,130,21.474
21516,6,6,1.638,130,21.516
21557,6,6,2.02,130,21.557
21599,6,6,1.667,130,21.599
21641,6,6,2.032,130,21.641
21683,6,6,1.167,130,21.683
21725,6,6,1.326,130,21.725
21767,6,6,1.895,130,21.767
21809,6,6,2.123,130,21.809
21851,6,6,1.708,130,21.851
21893,6,6,2.048,130,21.893
21935,6,6,2.184,130,21.935
21977,6,6,2.238,130,21.977
22019,6,6,2.26,130,22.019
22060,6,6,2.774,130,22.06
22102,6,6,2.475,130,22.102
22149,6,2,1.849,0,22.149
22191,6,2,0.74,0,22.191
22233,6,2,0.296,130,22.233
22275,6,2,0.118,130,22.275
22317,6,2,0.047,130,22.317
22359,6,2,0.373,130,22.359
22401,6,2,1.008,130,22.401
22441,6,2,1.768,130,22.441
22483,6,2,2.072,130,22.483
22525,6,2,2.194,130,22.525
22567,6,2,1.737,130,22.567
22609,6,2,2.565,130,22.609
22651,6,2,2.391,130,22.651
22693,6,2,2.827,130,22.693
22735,6,2,3.506,0,22.735
