t_ms,intensidad,pouch,DeltaP,PWM,t_s
16420,4,7,0.0,255,16.42
16462,4,7,0.0,255,16.462
16503,4,7,0.059,255,16.503
16545,4,7,0.281,255,16.545
16587,4,7,0.817,255,16.587
16629,4,7,1.215,255,16.629
16671,4,7,1.658,255,16.671
16713,4,7,2.141,255,16.713
16755,4,7,2.576,255,16.755
16797,4,7,3.051,255,16.797
16839,4,7,3.226,255,16.839
16881,4,7,3.3,255,16.881
16923,4,7,3.534,255,16.923
16964,4,7,3.745,255,16.964
17006,4,7,3.851,255,17.006
17048,4,7,4.03,255,17.048
17090,4,7,4.107,255,17.09
17132,4,7,4.177,255,17.132
17174,4,7,4.324,255,17.174
17216,4,7,4.456,255,17.216
17258,4,7,4.406,255,17.258
17300,4,7,4.53,255,17.3
17342,4,7,4.641,255,17.342
17384,4,7,4.657,255,17.384
17426,4,7,4.588,255,17.426
17467,4,7,4.778,255,17.467
17509,4,7,4.864,255,17.509
17551,4,7,4.858,255,17.551
17593,4,7,4.684,255,17.593
17635,4,7,4.78,255,17.635
17677,4,7,4.698,255,17.677
17719,4,7,4.708,255,17.719
17761,4,7,4.718,255,17.761
17803,4,7,4.81,255,17.803
17845,4,7,4.725,255,17.845
17887,4,7,4.733,255,17.887
17929,4,7,4.74,255,17.929
17970,4,7,4.83,255,17.97
18012,4,7,4.743,255,18.012
18054,4,7,4.749,255,18.054
18096,4,7,4.839,255,18.096
18138,4,7,4.835,255,18.138
18185,4,4,4.832,0,18.185
18227,4,4,4.408,0,18.227
18269,4,4,4.026,0,18.269
18311,4,4,3.623,255,18.311
18352,4,4,3.261,255,18.352
18394,4,4,2.994,255,18.394
18436,4,4,2.922,255,18.436
18478,4,4,3.026,255,18.478
18520,4,4,3.203,255,18.52
18562,4,4,3.447,255,18.562
18604,4,4,3.667,255,18.604
18646,4,4,3.949,255,18.646
18688,4,4,4.034,255,18.688
18729,4,4,4.111,255,18.729
18771,4,4,4.265,255,18.771
18813,4,4,4.318,255,18.813
18854,4,4,4.451,255,18.854
18896,4,4,4.654,255,18.896
18938,4,4,4.669,255,18.938
18980,4,4,4.851,255,18.98
19022,4,4,4.846,255,19.022
19064,4,4,4.926,255,19.064
19106,4,4,4.998,255,19.106
19148,4,4,5.063,255,19.148
19190,4,4,5.036,255,19.19
19232,4,4,5.097,255,19.232
19274,4,4,5.068,255,19.274
19316,4,4,5.125,255,19.316
19357,4,4,5.262,255,19.357
19399,4,4,5.3,255,19.399
19441,4,4,5.25,255,19.441
19483,4,4,5.29,255,19.483
19525,4,4,5.241,255,19.525
19567,4,4,5.281,255,19.567
19609,4,4,5.318,255,19.609
19651,4,4,5.35,255,19.651
19693,4,4,5.211,255,19.693
19735,4,4,5.339,255,19.735
19777,4,4,5.201,255,19.777
19819,4,4,5.245,255,19.819
19861,4,4,5.285,255,19.861
19902,4,4,5.237,255,19.902
19949,4,8,5.362,0,19.949
19991,4,8,4.885,0,19.991
20033,4,8,4.455,0,20.033
20075,4,8,4.01,0,20.075
20117,4,8,3.609,255,20.117
20159,4,8,3.248,255,20.159
20201,4,8,2.982,255,20.201
20242,4,8,2.911,255,20.242
20284,4,8,3.1,255,20.284
20326,4,8,3.186,255,20.326
20368,4,8,3.432,255,20.368
20410,4,8,3.738,255,20.41
20452,4,8,3.928,255,20.452
20494,4,8,4.268,255,20.494
20536,4,8,4.575,255,20.536
20578,4,8,4.85,255,20.578
20620,4,8,5.014,255,20.62
20662,4,8,5.077,255,20.662
20703,4,8,5.134,255,20.703
20745,4,8,5.185,255,20.745
20787,4,8,5.231,255,20.787
20829,4,8,5.356,255,20.829
20871,4,8,5.469,255,20.871
20913,4,8,5.571,255,20.913
20955,4,8,5.663,255,20.955
20997,4,8,5.829,255,20.997
21039,4,8,5.811,255,21.039
21081,4,8,5.963,255,21.081
21123,4,8,6.015,255,21.123
21165,4,8,6.062,255,21.165
21207,4,8,6.105,255,21.207
21248,4,8,6.143,255,21.248
21289,4,8,6.262,255,21.289
21331,4,8,6.284,255,21.331
21373,4,8,6.22,255,21.373
21415,4,8,6.331,255,21.415
21457,4,8,6.263,255,21.457
21499,4,8,6.369,255,21.499
21541,4,8,6.381,255,21.541
21583,4,8,6.392,255,21.583
21625,4,8,6.401,255,21.625
21667,4,8,6.325,255,21.667
21714,4,1,6.342,0,21.714
21755,4,1,5.766,0,21.755
21797,4,1,5.19,0,21.797
21839,4,1,4.671,0,21.839
21881,4,1,4.204,0,21.881
21923,4,1,3.783,255,21.923
21965,4,1,3.405,255,21.965
22007,4,1,3.065,255,22.007
22048,4,1,2.901,255,22.048
22090,4,1,2.923,255,22.09
22132,4,1,3.195,255,22.132
22174,4,1,3.524,255,22.174
22216,4,1,3.905,255,22.216
22258,4,1,4.163,255,22.258
22300,4,1,4.395,255,22.3
22342,4,1,4.605,255,22.342
22384,4,1,4.793,255,22.384
22426,4,1,4.962,255,22.426
22468,4,1,5.283,255,22.468
22510,4,1,5.404,255,22.51
22551,4,1,5.512,255,22.551
22593,4,1,5.609,255,22.593
22635,4,1,5.697,255,22.635
22677,4,1,5.608,255,22.677
22719,4,1,5.611,255,22.719
22761,4,1,5.615,255,22.761
22803,4,1,5.702,255,22.803
22845,4,1,5.78,255,22.845
22887,4,1,5.683,255,22.887
22929,4,1,5.763,255,22.929
22971,4,1,5.751,255,22.971
23013,4,1,5.825,255,23.013
23054,4,1,5.722,255,23.054
23096,4,1,5.715,255,23.096
23138,4,1,5.708,255,23.138
23180,4,1,5.701,255,23.18
23222,4,1,5.696,255,23.222
23264,4,1,5.691,255,23.264
23306,4,1,5.602,255,23.306
23348,4,1,5.69,255,23.348
23390,4,1,5.686,255,23.39
23432,4,1,5.766,255,23.432
23479,4,5,5.754,0,23.479
23521,4,5,5.178,0,23.521
23562,4,5,4.719,0,23.562
23604,4,5,4.248,0,23.604
23646,4,5,3.823,255,23.646
23688,4,5,3.44,255,23.688
23730,4,5,3.155,255,23.73
23772,4,5,2.983,255,23.772
23814,4,5,3.165,255,23.814
23856,4,5,3.329,255,23.856
23897,4,5,3.645,255,23.897
23939,4,5,3.845,255,23.939
23981,4,5,4.109,255,23.981
24023,4,5,4.262,255,24.023
24065,4,5,4.569,255,24.065
24107,4,5,4.929,255,24.107
24148,4,5,5.085,255,24.148
24190,4,5,5.141,255,24.19
24232,4,5,5.276,255,24.232
24274,4,5,5.313,255,24.274
