t_ms,intensidad,pouch,DeltaP,PWM,t_s
10995,4,1,0.0,225,10.995
11046,4,1,0.0,225,11.046
11099,4,1,0.0,225,11.099
11150,4,1,0.682,225,11.15
11202,4,1,1.666,225,11.202
11253,4,1,2.859,225,11.253
11305,4,1,3.442,225,11.305
11357,4,1,4.608,225,11.357
11409,4,1,5.172,225,11.409
11460,4,1,5.566,225,11.46
11512,4,1,5.337,225,11.512
11564,4,1,4.924,225,11.564
11616,4,1,4.887,225,11.616
11668,4,1,4.862,225,11.668
11719,4,1,4.591,225,11.719
11771,4,1,4.907,225,11.771
11823,4,1,4.876,225,11.823
11875,4,1,5.106,225,11.875
11926,4,1,5.015,225,11.926
11978,4,1,5.204,225,11.978
12029,4,1,5.083,225,12.029
12082,4,1,4.999,225,12.082
12133,4,1,4.687,225,12.133
12185,4,1,4.469,225,12.185
12237,4,1,4.063,225,12.237
12289,4,1,3.779,225,12.289
12341,4,1,3.834,225,12.341
12392,4,1,4.377,225,12.392
12444,4,1,4.504,225,12.444
12495,4,1,4.594,225,12.495
12548,4,1,4.151,225,12.548
12599,4,1,4.346,225,12.599
12651,4,1,4.23,225,12.651
12703,4,1,4.402,225,12.703
12760,4,4,4.775,0,12.76
12812,4,4,3.519,225,12.812
12863,4,4,2.463,225,12.863
12915,4,4,1.901,225,12.915
12966,4,4,2.013,225,12.966
13019,4,4,2.092,225,13.019
13070,4,4,1.894,225,13.07
13122,4,4,2.514,225,13.122
13173,4,4,2.947,225,13.173
13225,4,4,3.757,225,13.225
13277,4,4,4.07,225,13.277
13329,4,4,3.784,225,13.329
13381,4,4,3.584,225,13.381
13432,4,4,3.191,225,13.432
13485,4,4,2.916,225,13.485
13536,4,4,3.229,225,13.536
13588,4,4,2.943,225,13.588
13639,4,4,3.248,225,13.639
13691,4,4,3.461,225,13.691
13743,4,4,3.864,225,13.743
13795,4,4,3.892,225,13.795
13846,4,4,3.66,225,13.846
13898,4,4,3.75,225,13.898
13950,4,4,3.307,225,13.95
14002,4,4,3.25,225,14.002
14054,4,4,3.21,225,14.054
14105,4,4,3.182,225,14.105
14157,4,4,3.416,225,14.157
14209,4,4,3.831,225,14.209
14261,4,4,3.617,225,14.261
14312,4,4,3.72,225,14.312
14364,4,4,3.792,225,14.364
14415,4,4,3.589,225,14.415
14468,4,4,3.195,225,14.468
14525,4,7,3.172,225,14.525
14576,4,7,2.397,225,14.576
14628,4,7,2.36,225,14.628
14680,4,7,2.335,225,14.68
14732,4,7,2.317,225,14.732
14783,4,7,2.304,225,14.783
14835,4,7,2.548,225,14.835
14886,4,7,2.466,225,14.886
14939,4,7,2.156,225,14.939
14991,4,7,2.697,225,14.991
15042,4,7,3.076,225,15.042
15094,4,7,3.341,225,15.094
15145,4,7,3.021,225,15.145
15198,4,7,2.797,225,15.198
15249,4,7,2.64,225,15.249
15301,4,7,3.036,225,15.301
15352,4,7,2.808,225,15.352
15405,4,7,2.395,225,15.405
15456,4,7,2.864,225,15.456
15508,4,7,2.94,225,15.508
15560,4,7,3.246,225,15.56
15611,4,7,3.713,225,15.611
15664,4,7,3.534,225,15.664
15715,4,7,3.156,225,15.715
15767,4,7,2.892,225,15.767
15818,4,7,2.707,225,15.818
15870,4,7,2.83,225,15.87
15922,4,7,3.169,225,15.922
15974,4,7,3.153,225,15.974
16025,4,7,3.648,225,16.025
16077,4,7,3.741,225,16.077
16130,4,7,3.554,225,16.13
16181,4,7,3.423,225,16.181
16233,4,7,3.079,225,16.233
16289,4,2,3.343,225,16.289
16342,4,2,2.34,225,16.342
16393,4,2,2.32,225,16.393
16445,4,2,2.559,225,16.445
16496,4,2,2.727,225,16.496
16548,4,2,3.349,225,16.548
16600,4,2,3.785,225,16.6
16652,4,2,3.585,225,16.652
16704,4,2,3.697,225,16.704
16755,4,2,3.776,225,16.755
16807,4,2,4.084,225,16.807
16859,4,2,4.299,225,16.859
16911,4,2,4.45,225,16.911
16962,4,2,4.303,225,16.962
17014,4,2,3.947,225,17.014
17065,4,2,3.698,225,17.065
17118,4,2,4.029,225,17.118
17169,4,2,3.756,225,17.169
17221,4,2,3.817,225,17.221
17273,4,2,4.112,225,17.273
17325,4,2,4.572,225,17.325
17377,4,2,4.641,225,17.377
17428,4,2,3.426,225,17.428
17480,4,2,3.333,225,17.48
17531,4,2,3.521,225,17.531
17584,4,2,3.4,225,17.584
17635,4,2,3.315,225,17.635
17687,4,2,3.761,225,17.687
17739,4,2,3.821,225,17.739
17790,4,2,3.862,225,17.79
17843,4,2,4.397,225,17.843
17894,4,2,4.771,225,17.894
17946,4,2,4.528,225,17.946
17997,4,2,4.105,225,17.997
18055,4,5,3.556,225,18.055
18106,4,5,2.919,225,18.106
18158,4,5,2.978,225,18.158
18209,4,5,3.525,225,18.209
18262,4,5,3.403,225,18.262
18314,4,5,3.823,225,18.314
18365,4,5,3.864,225,18.365
18417,4,5,3.64,225,18.417
18468,4,5,4.241,225,18.468
18521,4,5,4.662,225,18.521
18572,4,5,4.957,225,18.572
18624,4,5,4.91,225,18.624
18675,4,5,4.878,225,18.675
18727,4,5,5.108,225,18.727
18779,4,5,5.016,225,18.779
18831,4,5,4.699,225,18.831
18883,4,5,4.477,225,18.883
18934,4,5,4.069,225,18.934
18987,4,5,3.784,225,18.987
19038,4,5,3.836,225,19.038
19090,4,5,4.126,225,19.09
19141,4,5,4.329,225,19.141
19193,4,5,4.724,225,19.193
19245,4,5,4.747,225,19.245
19297,4,5,4.511,225,19.297
19349,4,5,4.598,225,19.349
19400,4,5,4.407,225,19.4
19452,4,5,4.273,225,19.452
19504,4,5,3.926,225,19.504
19556,4,5,4.189,225,19.556
19607,4,5,4.625,225,19.607
19659,4,5,4.931,225,19.659
19710,4,5,4.387,225,19.71
19763,4,5,4.259,225,19.763
19820,4,8,4.169,0,19.82
19871,4,8,2.918,225,19.871
19923,4,8,2.22,225,19.923
19975,4,8,2.236,225,19.975
20027,4,8,2.5,225,20.027
20078,4,8,2.433,225,20.078
20130,4,8,2.891,225,20.13
20182,4,8,3.211,225,20.182
20234,4,8,3.436,225,20.234
20285,4,8,3.593,225,20.285
20337,4,8,3.956,225,20.337
20388,4,8,4.21,225,20.388
20441,4,8,4.64,225,20.441
20493,4,8,4.689,225,20.493
20544,4,8,4.975,225,20.544
20596,4,8,4.418,225,20.596
20647,4,8,4.028,225,20.647
20700,4,8,3.502,225,20.7
20751,4,8,3.386,225,20.751
20803,4,8,3.306,225,20.803
20854,4,8,3.755,225,20.854
20907,4,8,4.069,225,20.907
20958,4,8,4.289,225,20.958
21010,4,8,4.19,225,21.01
21062,4,8,3.868,225,21.062
21113,4,8,3.896,225,21.113
21166,4,8,3.662,225,21.166
21217,4,8,4.004,225,21.217
21269,4,8,3.991,225,21.269
21320,4,8,3.981,225,21.32
21372,4,8,4.228,225,21.372
21424,4,8,4.4,225,21.424
21476,4,8,4.773,225,21.476
21528,4,8,4.276,225,21.528
21584,4,3,4.181,0,21.584
21637,4,3,3.104,225,21.637
21688,4,3,2.602,225,21.688
21740,4,3,2.504,225,21.74
21791,4,3,3.193,225,21.791
21843,4,3,3.423,225,21.843
21895,4,3,3.331,225,21.895
21947,4,3,3.267,225,21.947
21998,4,3,3.475,225,21.998
22050,4,3,3.62,225,22.05
22102,4,3,3.722,225,22.102
22154,4,3,4.299,225,22.154
22206,4,3,4.45,225,22.206
22257,4,3,4.555,225,22.257
22309,4,3,4.377,225,22.309
22361,4,3,4.504,225,22.361
22413,4,3,4.341,225,22.413
22464,4,3,4.227,225,22.464
22516,4,3,4.146,225,22.516
22567,4,3,3.838,225,22.567
22620,4,3,4.127,225,22.62
22671,4,3,4.329,225,22.671
22723,4,3,4.471,225,22.723
22775,4,3,4.571,225,22.775
22827,4,3,4.387,225,22.827
22879,4,3,4.259,225,22.879
22930,4,3,4.169,225,22.93
22982,4,3,3.854,225,22.982
23033,4,3,3.885,225,23.033
23086,4,3,4.16,225,23.086
23137,4,3,4.1,225,23.137
23189,4,3,4.311,225,23.189
23241,4,3,4.205,225,23.241
23292,4,3,3.626,225,23.292
23350,4,6,3.473,225,23.35
23401,4,6,2.608,225,23.401
23453,4,6,2.508,225,23.453
23504,4,6,2.691,225,23.504
23557,4,6,3.072,225,23.557
23608,4,6,3.085,225,23.608
23660,4,6,2.842,225,23.66
23711,4,6,2.672,225,23.711
23763,4,6,2.805,225,23.763
23816,4,6,2.393,225,23.816
23867,4,6,2.105,225,23.867
23919,4,6,2.409,225,23.919
23970,4,6,2.621,225,23.97
24023,4,6,2.77,225,24.023
24074,4,6,2.621,225,24.074
24126,4,6,2.012,225,24.126
24177,4,6,1.838,225,24.177
24229,4,6,2.222,225,24.229
24281,4,6,2.238,225,24.281
24333,4,6,2.501,225,24.333
24385,4,6,2.686,225,24.385
24436,4,6,2.815,225,24.436
24488,4,6,2.906,225,24.488
24540,4,6,3.222,225,24.54
24592,4,6,2.938,225,24.592
24643,4,6,2.486,225,24.643
24695,4,6,2.423,225,24.695
24747,4,6,2.378,225,24.747
24799,4,6,2.6,225,24.799
24850,4,6,2.755,225,24.85
24902,4,6,2.864,225,24.902
24954,4,6,2.94,225,24.954
25006,4,6,2.993,225,25.006
25058,4,6,2.777,225,25.058
25114,4,9,2.374,225,25.114
25166,4,9,1.839,225,25.166
25218,4,9,1.717,225,25.218
25270,4,9,2.137,225,25.27
25321,4,9,2.431,225,25.321
25373,4,9,2.637,225,25.373
25425,4,9,2.781,225,25.425
25477,4,9,3.135,225,25.477
25529,4,9,3.382,225,25.529
25580,4,9,3.303,225,25.58
25632,4,9,2.994,225,25.632
25683,4,9,3.537,225,25.683
25736,4,9,3.663,225,25.736
25787,4,9,4.005,225,25.787
25839,4,9,3.991,225,25.839
25890,4,9,3.729,225,25.89
25943,4,9,3.293,225,25.943
25995,4,9,2.987,225,25.995
26046,4,9,3.026,225,26.046
26098,4,9,3.054,225,26.098
26149,4,9,3.073,225,26.149
26202,4,9,3.591,225,26.202
26253,4,9,3.702,225,26.253
26305,4,9,3.779,225,26.305
26356,4,9,3.581,225,26.356
26408,4,9,3.442,225,26.408
26460,4,9,3.091,225,26.46
26512,4,9,3.352,225,26.512
26564,4,9,2.776,225,26.564
26615,4,9,3.131,225,26.615
26668,4,9,3.38,225,26.668
26719,4,9,3.554,225,26.719
26771,4,9,3.675,225,26.771
26822,4,9,2.75,225,26.822
26880,4,1,2.607,225,26.88
26931,4,1,2.002,225,26.931
26983,4,1,1.831,225,26.983
27034,4,1,2.47,225,27.034
27086,4,1,2.917,225,27.086
27139,4,1,3.482,225,27.139
27190,4,1,3.625,225,27.19
27242,4,1,3.22,225,27.242
