t_ms,intensidad,pouch,DeltaP,PWM,t_s
9461,4,7,0.0,225,9.461
9512,4,7,0.0,225,9.512
9564,4,7,0.177,225,9.564
9616,4,7,0.806,225,9.616
9667,4,7,1.5,225,9.667
9719,4,7,1.985,225,9.719
9771,4,7,2.83,225,9.771
9823,4,7,3.422,225,9.823
9874,4,7,3.33,225,9.874
9926,4,7,3.266,225,9.926
9977,4,7,3.727,225,9.977
10030,4,7,3.797,225,10.03
10081,4,7,3.846,225,10.081
10133,4,7,3.374,225,10.133
10185,4,7,3.297,225,10.185
10236,4,7,2.99,225,10.236
10289,4,7,3.028,225,10.289
10340,4,7,3.055,225,10.34
10392,4,7,2.821,225,10.392
10443,4,7,2.91,225,10.443
10496,4,7,2.719,225,10.496
10547,4,7,2.839,225,10.547
10599,4,7,3.175,225,10.599
10650,4,7,2.652,225,10.65
10702,4,7,2.792,225,10.702
10755,4,7,2.637,225,10.755
10806,4,7,2.528,225,10.806
10858,4,7,2.452,225,10.858
10909,4,7,2.652,225,10.909
10961,4,7,3.044,225,10.961
11013,4,7,3.319,225,11.013
11065,4,7,2.753,225,11.065
11116,4,7,2.609,225,11.116
11168,4,7,2.509,225,11.168
11225,4,4,2.691,225,11.225
11277,4,4,2.314,225,11.277
11329,4,4,2.302,225,11.329
11380,4,4,2.799,225,11.38
11432,4,4,2.895,225,11.432
11484,4,4,2.961,225,11.484
11536,4,4,3.008,225,11.536
11587,4,4,3.041,225,11.587
11639,4,4,3.316,225,11.639
11691,4,4,3.004,225,11.691
11743,4,4,3.038,225,11.743
11794,4,4,3.567,225,11.794
11846,4,4,3.685,225,11.846
11898,4,4,3.515,225,11.898
11950,4,4,3.395,225,11.95
12002,4,4,3.312,225,12.002
12053,4,4,3.001,225,12.053
12105,4,4,3.036,225,12.105
12156,4,4,2.807,225,12.156
12209,4,4,3.153,225,12.209
12260,4,4,3.395,225,12.26
12312,4,4,3.564,225,12.312
12363,4,4,3.43,225,12.363
12416,4,4,3.589,225,12.416
12468,4,4,3.447,225,12.468
12519,4,4,3.601,225,12.519
12571,4,4,3.456,225,12.571
12622,4,4,3.102,225,12.622
12675,4,4,3.106,225,12.675
12726,4,4,3.362,225,12.726
12778,4,4,3.794,225,12.778
12829,4,4,3.844,225,12.829
12881,4,4,3.373,225,12.881
12933,4,4,3.044,225,12.933
12990,4,8,3.318,225,12.99
13042,4,8,2.5,225,13.042
13093,4,8,2.685,225,13.093
13146,4,8,2.309,225,13.146
13197,4,8,2.804,225,13.197
13249,4,8,3.404,225,13.249
13300,4,8,3.57,225,13.3
13352,4,8,3.687,225,13.352
13404,4,8,4.022,225,13.404
13456,4,8,4.509,225,13.456
13507,4,8,4.849,225,13.507
13559,4,8,5.088,225,13.559
13611,4,8,5.255,225,13.611
13663,4,8,5.119,225,13.663
13715,4,8,4.771,225,13.715
13766,4,8,4.78,225,13.766
13818,4,8,4.534,225,13.818
13870,4,8,4.615,225,13.87
13922,4,8,4.418,225,13.922
13973,4,8,4.533,225,13.973
14025,4,8,4.867,225,14.025
14076,4,8,4.847,225,14.076
14129,4,8,4.834,225,14.129
14181,4,8,4.319,225,14.181
14232,4,8,4.464,225,14.232
14284,4,8,4.312,225,14.284
14336,4,8,4.207,225,14.336
14388,4,8,4.385,225,14.388
14439,4,8,4.51,225,14.439
14491,4,8,4.851,225,14.491
14542,4,8,4.836,225,14.542
14595,4,8,4.826,225,14.595
14647,4,8,4.566,225,14.647
14698,4,8,4.131,225,14.698
14755,4,1,4.333,0,14.755
14807,4,1,3.033,225,14.807
14859,4,1,2.3,225,14.859
14910,4,1,2.292,225,14.91
14962,4,1,2.792,225,14.962
15013,4,1,2.637,225,15.013
15066,4,1,3.287,225,15.066
15117,4,1,3.489,225,15.117
15169,4,1,3.883,225,15.169
15220,4,1,4.411,225,15.22
15272,4,1,5.034,225,15.272
15325,4,1,4.964,225,15.325
15376,4,1,5.421,225,15.376
15428,4,1,5.235,225,15.428
15479,4,1,5.105,225,15.479
15532,4,1,5.014,225,15.532
15583,4,1,4.951,225,15.583
15635,4,1,4.906,225,15.635
15686,4,1,4.622,225,15.686
15738,4,1,4.929,225,15.738
15791,4,1,5.144,225,15.791
15842,4,1,5.294,225,15.842
15894,4,1,5.146,225,15.894
15945,4,1,5.043,225,15.945
15997,4,1,4.971,225,15.997
16049,4,1,4.92,225,16.049
16101,4,1,4.885,225,16.101
16152,4,1,4.86,225,16.152
16204,4,1,4.843,225,16.204
16257,4,1,5.083,225,16.257
16308,4,1,5.504,225,16.308
16360,4,1,5.546,225,16.36
16411,4,1,5.576,225,16.411
16463,4,1,5.344,225,16.463
16520,4,5,5.434,0,16.52
16572,4,5,3.804,225,16.572
16623,4,5,3.092,225,16.623
16675,4,5,2.847,225,16.675
16727,4,5,2.928,225,16.727
16779,4,5,3.238,225,16.779
16830,4,5,3.707,225,16.83
16882,4,5,3.783,225,16.882
16934,4,5,4.089,225,16.934
16986,4,5,4.555,225,16.986
17038,4,5,4.629,225,17.038
17089,4,5,5.187,225,17.089
17141,4,5,5.324,225,17.141
17192,4,5,5.42,225,17.192
17245,4,5,5.235,225,17.245
17296,4,5,5.358,225,17.296
17348,4,5,5.191,225,17.348
17399,4,5,4.822,225,17.399
17452,4,5,5.068,225,17.452
17504,4,5,5.241,225,17.504
17555,4,5,5.615,225,17.555
17607,4,5,5.624,225,17.607
17658,4,5,5.377,225,17.658
17711,4,5,5.205,225,17.711
17762,4,5,4.831,225,17.762
17814,4,5,4.822,225,17.814
17865,4,5,4.816,225,17.865
17917,4,5,4.812,225,17.917
17970,4,5,5.062,225,17.97
18021,4,5,4.984,225,18.021
18073,4,5,5.182,225,18.073
18124,4,5,4.815,225,18.124
18177,4,5,4.559,225,18.177
18228,4,5,4.379,225,18.228
18285,4,9,4.759,0,18.285
18336,4,9,3.508,225,18.336
18388,4,9,3.138,225,18.388
18440,4,9,2.197,225,18.44
18492,4,9,2.22,225,18.492
