t_ms,intensidad,pouch,DeltaP,PWM,t_s
12324,4,1,0.0,255,12.324
12366,4,1,0.0,255,12.366
12407,4,1,0.0,255,12.407
12449,4,1,0.057,255,12.449
12491,4,1,0.446,255,12.491
12533,4,1,0.88,255,12.533
12575,4,1,1.439,255,12.575
12617,4,1,2.027,255,12.617
12659,4,1,2.556,255,12.659
12701,4,1,3.116,255,12.701
12743,4,1,3.62,255,12.743
12785,4,1,3.989,255,12.785
12826,4,1,4.406,255,12.826
12868,4,1,4.613,255,12.868
12910,4,1,4.799,255,12.91
12952,4,1,5.05,255,12.952
12994,4,1,5.108,255,12.994
13036,4,1,5.16,255,13.036
13078,4,1,5.207,255,13.078
13120,4,1,5.249,255,13.12
13162,4,1,5.287,255,13.162
13204,4,1,5.406,255,13.204
13246,4,1,5.428,255,13.246
13288,4,1,5.448,255,13.288
13329,4,1,5.551,255,13.329
13371,4,1,5.727,255,13.371
13413,4,1,5.801,255,13.413
13455,4,1,5.869,255,13.455
13497,4,1,5.929,255,13.497
13539,4,1,5.983,255,13.539
13581,4,1,6.032,255,13.581
13623,4,1,5.908,255,13.623
13665,4,1,5.964,255,13.665
13707,4,1,6.015,255,13.707
13749,4,1,5.976,255,13.749
13791,4,1,5.942,255,13.791
13832,4,1,5.91,255,13.832
13874,4,1,5.798,255,13.874
13916,4,1,5.781,255,13.916
13958,4,1,5.597,255,13.958
14000,4,1,5.601,255,14.0
14042,4,1,5.604,255,14.042
14089,4,4,5.606,0,14.089
14131,4,4,5.187,0,14.131
14173,4,4,4.726,0,14.173
14214,4,4,4.253,0,14.214
14256,4,4,3.828,255,14.256
14298,4,4,3.445,255,14.298
14340,4,4,3.242,255,14.34
14382,4,4,3.06,255,14.382
14424,4,4,2.98,255,14.424
14466,4,4,3.076,255,14.466
14508,4,4,3.247,255,14.508
14550,4,4,3.486,255,14.55
14592,4,4,3.7,255,14.592
14632,4,4,3.809,255,14.632
14674,4,4,3.991,255,14.674
14716,4,4,4.155,255,14.716
14758,4,4,4.218,255,14.758
14800,4,4,4.275,255,14.8
14842,4,4,4.494,255,14.842
14884,4,4,4.439,255,14.884
14926,4,4,4.558,255,14.926
14968,4,4,4.666,255,14.968
15010,4,4,4.678,255,15.01
15052,4,4,4.857,255,15.052
15094,4,4,4.85,255,15.094
15136,4,4,4.844,255,15.136
15177,4,4,4.922,255,15.177
15219,4,4,4.993,255,15.219
15261,4,4,5.057,255,15.261
15303,4,4,4.945,255,15.303
15345,4,4,5.098,255,15.345
15387,4,4,5.067,255,15.387
15429,4,4,5.123,255,15.429
15471,4,4,5.005,255,15.471
15513,4,4,4.983,255,15.513
15555,4,4,4.964,255,15.555
15597,4,4,4.862,255,15.597
15639,4,4,4.854,255,15.639
15680,4,4,4.932,255,15.68
15722,4,4,4.833,255,15.722
15764,4,4,4.829,255,15.764
15806,4,4,4.74,255,15.806
15853,4,7,4.745,0,15.853
15895,4,7,4.328,0,15.895
15937,4,7,3.895,0,15.937
15979,4,7,3.505,255,15.979
16021,4,7,3.155,255,16.021
16062,4,7,2.839,255,16.062
16104,4,7,2.781,255,16.104
16146,4,7,2.898,255,16.146
16188,4,7,2.918,255,16.188
16230,4,7,3.105,255,16.23
16272,4,7,3.273,255,16.272
16314,4,7,3.34,255,16.314
16356,4,7,3.485,255,16.356
16398,4,7,3.615,255,16.398
16440,4,7,3.648,255,16.44
16482,4,7,3.678,255,16.482
16523,4,7,3.873,255,16.523
16565,4,7,3.88,255,16.565
16607,4,7,3.886,255,16.607
16649,4,7,3.892,255,16.649
16691,4,7,3.982,255,16.691
16733,4,7,4.062,255,16.733
16775,4,7,4.219,255,16.775
16817,4,7,4.192,255,16.817
16859,4,7,4.167,255,16.859
16901,4,7,4.145,255,16.901
16943,4,7,4.209,255,16.943
16985,4,7,4.098,255,16.985
17027,4,7,4.167,255,17.027
17068,4,7,4.229,255,17.068
17110,4,7,4.285,255,17.11
17152,4,7,4.335,255,17.152
17193,4,7,4.464,255,17.193
17235,4,7,4.497,255,17.235
17277,4,7,4.441,255,17.277
17319,4,7,4.476,255,17.319
17361,4,7,4.591,255,17.361
17403,4,7,4.442,255,17.403
17445,4,7,4.308,255,17.445
17487,4,7,4.356,255,17.487
17529,4,7,4.315,255,17.529
17571,4,7,4.194,255,17.571
17617,4,2,4.253,0,17.617
17659,4,2,3.828,255,17.659
17701,4,2,3.445,255,17.701
17743,4,2,3.411,255,17.743
17785,4,2,3.296,255,17.785
17827,4,2,3.529,255,17.827
17869,4,2,3.57,255,17.869
17911,4,2,3.692,255,17.911
17953,4,2,3.802,255,17.953
17995,4,2,4.069,255,17.995
18036,4,2,4.309,255,18.036
18078,4,2,4.357,255,18.078
18120,4,2,4.484,255,18.12
18162,4,2,4.683,255,18.162
18204,4,2,4.862,255,18.204
18246,4,2,5.023,255,18.246
18288,4,2,5.168,255,18.288
18330,4,2,5.298,255,18.33
18372,4,2,5.331,255,18.372
18414,4,2,5.361,255,18.414
18456,4,2,5.472,255,18.456
