t_ms,intensidad,pouch,DeltaP,PWM,t_s
10417,6,2,0.0,110,10.417
10458,6,2,0.0,110,10.458
10500,6,2,0.0,110,10.5
10542,6,2,0.0,110,10.542
10584,6,2,0.0,110,10.584
10626,6,2,0.0,110,10.626
10668,6,2,0.859,110,10.668
10710,6,2,1.203,110,10.71
10752,6,2,1.846,110,10.752
10793,6,2,2.103,110,10.793
10834,6,2,2.712,110,10.834
10876,6,2,1.944,110,10.876
10918,6,2,2.648,110,10.918
10960,6,2,1.918,110,10.96
11002,6,2,2.638,110,11.002
11044,6,2,1.914,110,11.044
11086,6,2,2.131,110,11.086
11128,6,2,1.712,110,11.128
11170,6,2,2.049,110,11.17
11212,6,2,2.185,110,11.212
11254,6,2,1.733,110,11.254
11296,6,2,2.058,110,11.296
11337,6,2,0.823,110,11.337
11379,6,2,0.683,110,11.379
11421,6,2,1.638,110,11.421
11463,6,2,1.515,110,11.463
11505,6,2,1.465,110,11.505
11547,6,2,1.445,110,11.547
11589,6,2,1.943,110,11.589
11631,6,2,1.636,110,11.631
11673,6,2,1.008,110,11.673
11715,6,2,1.768,110,11.715
11757,6,2,1.567,110,11.757
11799,6,2,1.991,110,11.799
11840,6,2,1.656,110,11.84
11882,6,2,1.522,110,11.882
11924,6,2,0.963,110,11.924
11966,6,2,1.75,110,11.966
12008,6,2,2.065,110,12.008
12050,6,2,2.191,110,12.05
12092,6,2,1.736,110,12.092
12134,6,2,2.565,110,12.134
12181,6,4,2.391,0,12.181
12223,6,4,0.956,0,12.223
12264,6,4,0.382,110,12.264
12306,6,4,0.153,110,12.306
12348,6,4,0.061,110,12.348
12390,6,4,0.024,110,12.39
12432,6,4,0.364,110,12.432
12474,6,4,0.499,110,12.474
12516,6,4,0.554,110,12.516
12558,6,4,0.221,110,12.558
12600,6,4,1.453,110,12.6
12642,6,4,0.935,110,12.642
12683,6,4,1.233,110,12.683
12725,6,4,1.858,110,12.725
12767,6,4,1.603,110,12.767
12809,6,4,1.5,110,12.809
12851,6,4,1.459,110,12.851
12893,6,4,0.938,110,12.893
12935,6,4,1.234,110,12.935
12977,6,4,1.353,110,12.977
13019,6,4,2.412,110,13.019
13061,6,4,1.824,110,13.061
13103,6,4,2.094,110,13.103
13145,6,4,1.192,110,13.145
13186,6,4,1.841,110,13.186
13228,6,4,2.101,110,13.228
13270,6,4,2.205,110,13.27
13312,6,4,1.236,110,13.312
13353,6,4,1.354,110,13.353
13395,6,4,0.895,110,13.395
13437,6,4,1.217,110,13.437
13479,6,4,0.841,110,13.479
13521,6,4,0.69,110,13.521
13563,6,4,0.63,110,13.563
13605,6,4,1.111,110,13.605
13647,6,4,1.304,110,13.647
13688,6,4,1.381,110,13.688
13730,6,4,1.917,110,13.73
13772,6,4,1.121,110,13.772
13814,6,4,1.308,110,13.814
13856,6,4,0.877,110,13.856
13898,6,4,1.21,110,13.898
13945,6,8,1.343,0,13.945
13987,6,8,0.537,110,13.987
14029,6,8,0.215,110,14.029
14071,6,8,0.086,110,14.071
14112,6,8,0.034,110,14.112
14154,6,8,0.368,110,14.154
14196,6,8,1.006,110,14.196
14238,6,8,1.262,110,14.238
14280,6,8,1.87,110,14.28
14322,6,8,1.102,110,14.322
14364,6,8,1.805,110,14.364
14406,6,8,1.582,110,14.406
14448,6,8,3.008,110,14.448
14490,6,8,2.568,110,14.49
14532,6,8,2.898,110,14.532
14573,6,8,2.018,110,14.573
14615,6,8,2.172,110,14.615
14657,6,8,2.234,110,14.657
14699,6,8,2.258,110,14.699
14741,6,8,2.268,110,14.741
14783,6,8,2.272,110,14.783
14825,6,8,2.274,110,14.825
14867,6,8,2.274,110,14.867
14909,6,8,1.769,110,14.909
14951,6,8,2.072,110,14.951
14993,6,8,1.183,110,14.993
15035,6,8,1.838,110,15.035
15076,6,8,2.605,110,15.076
15118,6,8,2.912,110,15.118
15160,6,8,2.53,110,15.16
15202,6,8,2.377,110,15.202
15244,6,8,2.315,110,15.244
15286,6,8,2.291,110,15.286
15328,6,8,1.776,110,15.328
15370,6,8,1.57,110,15.37
15412,6,8,1.993,110,15.412
15454,6,8,2.162,110,15.454
15496,6,8,2.23,110,15.496
15538,6,8,2.257,110,15.538
15579,6,8,2.267,110,15.579
15621,6,8,1.766,110,15.621
15663,6,8,2.071,110,15.663
15710,6,6,2.193,0,15.71
15752,6,6,0.877,0,15.752
15794,6,6,0.351,110,15.794
15836,6,6,0.14,110,15.836
15878,6,6,0.056,110,15.878
15920,6,6,0.022,110,15.92
15961,6,6,0.009,110,15.961
16003,6,6,0.357,110,16.003
16045,6,6,0.143,110,16.045
16087,6,6,0.917,110,16.087
16129,6,6,0.72,110,16.129
16171,6,6,1.147,110,16.171
16212,6,6,1.318,110,16.212
16254,6,6,1.387,110,16.254
16296,6,6,1.919,110,16.296
16338,6,6,2.133,110,16.338
16380,6,6,1.712,110,16.38
16421,6,6,1.039,110,16.421
16463,6,6,0.769,110,16.463
16505,6,6,1.167,110,16.505
16547,6,6,0.821,110,16.547
16589,6,6,0.682,110,16.589
16631,6,6,1.132,110,16.631
16673,6,6,0.453,110,16.673
16715,6,6,1.546,110,16.715
16757,6,6,1.478,110,16.757
16799,6,6,1.956,110,16.799
16841,6,6,1.642,110,16.841
16883,6,6,1.516,110,16.883
16924,6,6,1.466,110,16.924
16966,6,6,1.951,110,16.966
17008,6,6,1.134,110,17.008
17050,6,6,1.313,110,17.05
17092,6,6,1.385,110,17.092
17134,6,6,2.424,110,17.134
17176,6,6,1.829,110,17.176
17218,6,6,1.591,110,17.218
17260,6,6,1.496,110,17.26
17302,6,6,1.963,110,17.302
17344,6,6,1.645,110,17.344
17386,6,6,1.517,110,17.386
17427,6,6,0.961,110,17.427
17474,6,2,1.244,0,17.474
17516,6,2,0.497,110,17.516
17558,6,2,0.199,110,17.558
17600,6,2,0.08,110,17.6
17642,6,2,0.032,110,17.642
17684,6,2,0.367,110,17.684
17726,6,2,1.006,110,17.726
17768,6,2,1.767,110,17.768
17810,6,2,1.566,110,17.81
17851,6,2,1.991,110,17.851
